step 0: train loss 3.1927, val loss 3.1932
iter 407: loss 0.2063, time 18.52ms, mfu 0.06%
iter 408: loss 0.2035, time 17.78ms, mfu 0.07%
iter 409: loss 0.1858, time 17.91ms, mfu 0.07%
iter 410: loss 0.1838, time 18.33ms, mfu 0.07%
iter 411: loss 0.1974, time 18.70ms, mfu 0.07%
iter 412: loss 0.2021, time 19.19ms, mfu 0.07%
iter 413: loss 0.1887, time 18.14ms, mfu 0.07%
iter 414: loss 0.1821, time 18.42ms, mfu 0.07%
iter 415: loss 0.1861, time 18.54ms, mfu 0.07%
iter 416: loss 0.1859, time 19.22ms, mfu 0.07%
iter 417: loss 0.1924, time 18.57ms, mfu 0.07%
iter 418: loss 0.1818, time 17.77ms, mfu 0.07%
iter 419: loss 0.1941, time 18.67ms, mfu 0.07%
iter 420: loss 0.1818, time 18.93ms, mfu 0.07%
iter 421: loss 0.1897, time 18.39ms, mfu 0.07%
iter 422: loss 0.1879, time 18.12ms, mfu 0.07%
iter 423: loss 0.2032, time 18.73ms, mfu 0.07%
iter 424: loss 0.1816, time 17.69ms, mfu 0.07%
iter 425: loss 0.1881, time 18.93ms, mfu 0.07%
iter 426: loss 0.1862, time 18.81ms, mfu 0.07%
iter 427: loss 0.1934, time 18.08ms, mfu 0.07%
iter 428: loss 0.1917, time 18.78ms, mfu 0.07%
iter 429: loss 0.1839, time 18.57ms, mfu 0.07%
iter 430: loss 0.1888, time 19.14ms, mfu 0.07%
iter 431: loss 0.1880, time 22.08ms, mfu 0.07%
iter 432: loss 0.1893, time 18.73ms, mfu 0.07%
iter 433: loss 0.1819, time 18.22ms, mfu 0.07%
iter 434: loss 0.1729, time 18.14ms, mfu 0.07%
iter 435: loss 0.1818, time 19.36ms, mfu 0.07%
iter 436: loss 0.1694, time 18.72ms, mfu 0.07%
iter 437: loss 0.1994, time 18.64ms, mfu 0.07%
iter 438: loss 0.1790, time 19.38ms, mfu 0.07%
iter 439: loss 0.1822, time 21.16ms, mfu 0.07%
iter 440: loss 0.1950, time 18.73ms, mfu 0.07%
iter 441: loss 0.1792, time 18.05ms, mfu 0.07%
iter 442: loss 0.1848, time 18.71ms, mfu 0.07%
iter 443: loss 0.1788, time 18.94ms, mfu 0.07%
iter 444: loss 0.1792, time 18.44ms, mfu 0.07%
iter 445: loss 0.1868, time 18.26ms, mfu 0.07%
iter 446: loss 0.1993, time 18.99ms, mfu 0.07%
iter 447: loss 0.1904, time 18.84ms, mfu 0.07%
iter 448: loss 0.1859, time 19.10ms, mfu 0.07%
iter 449: loss 0.1854, time 17.88ms, mfu 0.07%
step 450: train loss 0.1840, val loss 0.1877
saving checkpoint to out/basic
iter 450: loss 0.1852, time 215.92ms, mfu 0.06%
